입력주소,입력아파트명,아파트명,동,법정동,지번,도로명,거래유형,계약년,계약월,계약일,거래금액(만원),전용면적(㎡),층,건축년도,거래구분,보증금(만원),월세(만원)
서울특별시 동작구 동작대로29길 119,사당우성2,사당우성2,,사당동,105,동작대로29길,매매,2006,1,20,38300,84.66,9,1993,,,
서울특별시 동작구 동작대로29길 119,사당우성2,우성,,노량진동,323,만양로8길,매매,2006,1,24,21000,59.82,4,1997,,,
서울특별시 동작구 동작대로29길 119,사당우성2,우성,,노량진동,323,만양로8길,매매,2006,1,20,47000,124.77,11,1997,,,
서울특별시 동작구 동작대로29길 119,사당우성2,사당우성2,,사당동,105,동작대로29길,매매,2006,1,25,33400,84.66,3,1993,,,
서울특별시 동작구 동작대로29길 119,사당우성2,우성,,노량진동,323,만양로8길,매매,2006,1,25,33000,84.96,15,1997,,,
서울특별시 동작구 동작대로29길 119,사당우성2,우성,,노량진동,323,만양로8길,매매,2006,1,31,29500,84.96,1,1997,,,
서울특별시 동작구 동작대로29길 119,사당우성2,우성,,노량진동,323,만양로8길,매매,2006,1,21,33000,84.96,8,1997,,,
서울특별시 동작구 동작대로29길 119,사당우성2,우성,,노량진동,323,만양로8길,매매,2006,1,15,45500,124.77,15,1997,,,
서울특별시 동작구 동작대로29길 119,사당우성2,사당우성2,,사당동,105,동작대로29길,매매,2006,1,20,45000,118.25,2,1993,,,
서울특별시 동작구 동작대로29길 119,사당우성2,우성,,노량진동,323,만양로8길,매매,2006,1,20,21500,59.82,10,1997,,,
서울특별시 동작구 동작대로29길 119,사당우성2,사당우성2,,사당동,105,동작대로29길,매매,2006,1,17,38000,84.66,14,1993,,,
서울특별시 동작구 동작대로29길 119,사당우성2,사당우성2,,사당동,105,동작대로29길,매매,2006,1,22,17000,46.75,9,1993,,,
서울특별시 동작구 동작대로29길 119,사당우성2,우성,,노량진동,323,만양로8길,매매,2006,1,27,21400,59.82,7,1997,,,
서울특별시 동작구 동작대로29길 119,사당우성2,사당우성2,,사당동,105,동작대로29길,매매,2006,1,11,33300,84.66,2,1993,,,
서울특별시 동작구 동작대로29길 119,사당우성2,우성,,노량진동,323,만양로8길,매매,2006,1,19,20900,59.82,13,1997,,,
서울특별시 동작구 동작대로29길 119,사당우성2,우성,,노량진동,323,만양로8길,매매,2006,1,18,21000,59.82,7,1997,,,
서울특별시 동작구 동작대로29길 119,사당우성2,우성,,노량진동,323,만양로8길,매매,2006,1,21,21650,59.82,7,1997,,,
서울특별시 동작구 동작대로29길 119,사당우성2,우성,,노량진동,323,만양로8길,매매,2006,1,24,30000,84.96,14,1997,,,
서울특별시 동작구 동작대로29길 119,사당우성2,우성,,노량진동,323,만양로8길,매매,2006,1,9,21300,59.82,14,1997,,,
서울특별시 동작구 동작대로29길 119,사당우성2,사당우성2,,사당동,105,동작대로29길,매매,2006,1,7,52800,118.25,14,1993,,,
서울특별시 동작구 동작대로29길 119,사당우성2,사당우성2,,사당동,105,동작대로29길,매매,2006,2,25,48900,118.25,6,1993,,,
서울특별시 동작구 동작대로29길 119,사당우성2,사당우성2,,사당동,105,동작대로29길,매매,2006,2,14,58700,118.25,13,1993,,,
서울특별시 동작구 동작대로29길 119,사당우성2,우성,,노량진동,323,만양로8길,매매,2006,2,26,28500,84.96,1,1997,,,
서울특별시 동작구 동작대로29길 119,사당우성2,사당우성2,,사당동,105,동작대로29길,매매,2006,2,28,28000,59.89,11,1993,,,
서울특별시 동작구 동작대로29길 119,사당우성2,우성,,노량진동,323,만양로8길,매매,2006,2,10,22000,59.82,17,1997,,,
서울특별시 동작구 동작대로29길 119,사당우성2,사당우성2,,사당동,105,동작대로29길,매매,2006,2,22,36500,84.66,12,1993,,,
서울특별시 동작구 동작대로29길 119,사당우성2,사당우성2,,사당동,105,동작대로29길,매매,2006,2,15,26500,59.89,8,1993,,,
